Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
166,EPIC 220674823 b,1,1,2,4,2,244.59,3.044,-2.972,244.59,3.044,-2.972,3.0
167,EPIC 220674823 c,2,1,2,4,2,244.59,3.044,-2.972,244.59,3.044,-2.972,3.0
168,EPIC 228836835 b,1,1,1,4,2,150.124,1.799,-1.758,150.124,1.799,-1.758,0.0
169,EPIC 229004835 b,1,1,1,4,2,121.971,0.879,-0.866,121.971,0.879,-0.866,0.0
170,EPIC 246851721 b,1,2,1,4,2,372.632,19.456,-17.644,372.632,19.456,-17.644,2.0
171,EPIC 248847494 b,1,1,1,4,2,551.886,12.752,-12.752,551.886,12.752,-12.752,0.0
172,EPIC 249893012 b,1,1,3,4,2,321.296,4.189,-4.085,321.296,4.189,-4.085,0.0
173,EPIC 249893012 c,2,1,3,4,2,321.296,4.189,-4.085,321.296,4.189,-4.085,0.0
174,EPIC 249893012 d,3,1,3,4,2,321.296,4.189,-4.085,321.296,4.189,-4.085,0.0
175,FU Tau b,1,1,1,2,2,133.4950466,22.9649891,-22.9649891,133.4950466,22.9649891,-22.9649891,1.0
176,G 264-012 b,1,1,2,1,1,16.009,0.0104,-0.0103,16.009,0.0104,-0.0103,1.0
177,G 264-012 c,2,1,2,1,1,16.009,0.0104,-0.0103,16.009,0.0104,-0.0103,1.0
178,G 9-40 b,1,1,1,4,2,27.9276,0.0451,-0.045,27.9276,0.0451,-0.045,1.0
179,GJ 1002 b,1,1,2,1,1,4.84867,0.00303,-0.00304,4.84867,0.00303,-0.00304,1.0
180,GJ 1002 c,2,1,2,1,1,4.84867,0.00303,-0.00304,4.84867,0.00303,-0.00304,1.0
181,GJ 1061 b,1,1,3,1,1,3.67278,0.00089,-0.0009,3.67278,0.00089,-0.0009,1.0
182,GJ 1061 c,2,1,3,1,1,3.67278,0.00089,-0.0009,3.67278,0.00089,-0.0009,1.0
183,GJ 1061 d,3,1,3,1,1,3.67278,0.00089,-0.0009,3.67278,0.00089,-0.0009,1.0
184,GJ 1132 b,1,1,2,4,1,12.613,0.007,-0.007,12.613,0.007,-0.007,2.0
185,GJ 1132 c,2,1,2,1,1,12.613,0.007,-0.007,12.613,0.007,-0.007,1.0
186,GJ 1148 b,1,1,2,1,1,11.0143,0.0064,-0.0065,11.0143,0.0064,-0.0065,1.0
187,GJ 1148 c,2,1,2,1,1,11.0143,0.0064,-0.0065,11.0143,0.0064,-0.0065,1.0
188,GJ 1151 c,2,1,1,1,1,8.03625,0.00772,-0.00771,8.03625,0.00772,-0.00771,0.0
189,GJ 1214 b,1,1,1,4,1,14.6427,0.0372,-0.0372,14.6427,0.0372,-0.0372,3.0
190,GJ 1252 b,1,1,1,4,2,20.373,0.0192,-0.0192,20.373,0.0192,-0.0192,0.0
191,GJ 1265 b,1,1,1,1,1,10.2525,0.0075,-0.0076,10.2525,0.0075,-0.0076,0.0
192,GJ 143 b,1,1,2,4,2,16.32,0.0071,-0.0071,16.32,0.0071,-0.0071,1.0
193,GJ 15 A b,1,2,2,1,1,3.56228,0.00055,-0.00055,3.56228,0.00055,-0.00055,4.0
194,GJ 15 A c,2,2,2,1,1,3.56228,0.00055,-0.00055,3.56228,0.00055,-0.00055,1.0
195,GJ 160.2 b,1,1,1,1,1,25.8557,0.0393,-0.0391,25.8557,0.0393,-0.0391,0.0
196,GJ 163 b,1,1,3,1,1,15.1285,0.0072,-0.0072,15.1285,0.0072,-0.0072,0.0
197,GJ 163 c,2,1,3,1,1,15.1285,0.0072,-0.0072,15.1285,0.0072,-0.0072,0.0
198,GJ 163 d,3,1,3,1,1,15.1285,0.0072,-0.0072,15.1285,0.0072,-0.0072,0.0
199,GJ 179 b,1,1,1,1,1,12.356,0.0093,-0.0093,12.356,0.0093,-0.0093,0.0
200,GJ 180 b,1,1,3,1,1,11.9407,0.0045,-0.0045,11.9407,0.0045,-0.0045,0.0
201,GJ 180 c,2,1,3,1,1,11.9407,0.0045,-0.0045,11.9407,0.0045,-0.0045,0.0
202,GJ 180 d,3,1,3,1,1,11.9407,0.0045,-0.0045,11.9407,0.0045,-0.0045,0.0
203,GJ 2030 b,1,1,2,1,1,37.0788,0.0647,-0.0644,37.0788,0.0647,-0.0644,0.0
204,GJ 2030 c,2,1,2,1,1,37.0788,0.0647,-0.0644,37.0788,0.0647,-0.0644,0.0
205,GJ 2056 b,1,1,1,1,1,28.4434,0.0234,-0.0233,28.4434,0.0234,-0.0233,0.0
206,GJ 229 A c,2,2,2,1,1,5.75624,0.001525,-0.001525,5.75624,0.001525,-0.001525,5.0
207,GJ 229 b,1,2,2,1,1,5.75624,0.001525,-0.001525,5.75624,0.001525,-0.001525,5.0
208,GJ 251 b,1,1,1,1,1,5.58057,0.00198,-0.00198,5.58057,0.00198,-0.00198,0.0
209,GJ 27.1 b,1,1,1,1,1,23.6062,0.02565,-0.02565,23.6062,0.02565,-0.02565,0.0
210,GJ 273 b,1,1,2,1,1,5.921535,0.0206332,-0.0206332,5.921535,0.0206332,-0.0206332,0.0
211,GJ 273 c,2,1,2,1,1,5.921535,0.0206332,-0.0206332,5.921535,0.0206332,-0.0206332,0.0
212,GJ 3021 b,1,2,1,1,1,17.5559,0.0073,-0.0073,17.5559,0.0073,-0.0073,4.0
213,GJ 3082 b,1,1,1,1,1,16.6186,0.00745,-0.00745,16.6186,0.00745,-0.00745,0.0
